Polyglot,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREDITS_LEVEL_CREATORS,,Level Creators,Créateurs de niveaux,Creadores de Niveles,Level Ersteller,Level Creators,Criadores de Nível,,Создатели уровней,,,Niveau Skabere,,Nivådesign,Level Makers,Twórcy Poziomów,,ステージクリエーター,关卡设计,譜師,레벨 제작자,,Pályatervezők,Creatori de nivel,,,יוצרי השלבים,مصمموا المراحل,,,
CREDITS_3D_GRAPHICS,,3D Graphics,Graphismes 3D,Gráficos 3D,3D Grafiken,Grafica 3D,Gráficos 3D,,3D графика,,,3D Grafikker,,3D graphics,3D Graphics,Grafika 3D,,3Dグラフィック,3D图像,3D圖形,3D 그래픽,,3D Grafika,Grafică 3D,,,גרפיקה תלת ממדית,رسومات 3D,,,
CREDITS_EXTRA_MUSIC_ARTISTS,,Extra Music Artists,Musiciens supplémentaires,Artistas Musicales Adicionales,Extra Musikkünstler,Artisti Musicali Extra,Artistas de Música Extra,,Доп. музыкальные исполнители,,,Ekstra Musik Kunstnere,,Extra musikartister,Extra Muziekartiesten,Dodatkowi Artyści Muzyczni,,エキストラ音楽アーティスト,其他音乐艺术家,音樂藝術家,기타 음악 아티스트,,További zenei előadók,Artişti de muzică extra,,,אומני המוזיקה הנוספת,,,,
CREDITS_2D_GRAPHICS,,2D Graphics,Graphismes 2D,Gráficos 2D,2D Grafiken,Grafica 2D,Gráficos 2D,,2D графика,,,2D Grafikker,,2D graphics,2D Graphics,Grafika 2D,,2Dグラフィック,2D图像,2D圖形,2D 그래픽,,2D Grafika,Grafică 2D,,,גרפיקה דו ממדית,رسومات 2D,,,
CREDITS_THANK_YOU_NOTE,,Thanks to everyone who supported us and helped us make this game a reality!,Merci à tous ceux qui nous ont appuyés et aidés à faire de ce jeu une réalité !,¡Gracias a todos los que nos han apoyado y ayudado a que este juego se convierta en una realidad!,"Danke an jeden, der uns Unterstützt und geholfen hat, dieses Spiel zu realisieren!",Grazie a tutti coloro ci hanno supportato e ci hanno aiutato a rendere questo gioco una realtà!,Obrigado a todos que nos apoiaram e nos ajudaram a tornar este jogo uma realidade!,,Спасибо всем кто поддерживал нас и помог сделать игру реальной!,,,"Tak til alle, der støttede os og hjalp os med at gøre dette spil til en virkelighed!",,Tack till alla som har stött oss och hjälpt oss att realisera det här spelet!,Bedankt aan iedereen die ons heeft gesteund en ons hielpen om van dit spel een realiteit te maken!,"Dziękujemy wszystkim, którzy wspierali nas i pomogli nam uczynić tę grę prawdziwą!",,このゲームの実現をサポートし、手を貸してくださった皆さんに感謝いたします！,感谢所有帮助我们完成这款游戏的人！,感謝所有支持我們並幫助我們開發這款遊戲的人！,이 게임을 현실로 만들 수 있게 도와주고 응원해주신 모든 분들께 감사드립니다.,,"Köszönet mindenkinek, aki támogatott minket és segített nekünk a játék valóra váltásában!",Mulţumim tuturor celor care ne-au susţinut şi ne-au ajutat să aducem acest joc la realitate!,,,תודה לכול מי שתמך בנו ועזר לנו להפוך את המשחק הזה למציאות!,شكرا لكل من دعمنا وساعدنا على جعل هذه اللعبة حقيقة!,,,
CREDITS_SPECIAL_THANKS,,Special thanks to,Remerciements,Agradecimientos especiales a,Besonderer Dank an,Ringraziamenti speciali a,Agradecimentos especiais a,,Особая благодарность,,,Særlig tak til,,Ett särskilt tack till,Speciale dank aan,Specjalne podziękowania dla,,特別な感謝：,特别鸣谢,特別感謝,특별히 감사한 분들,,Külön köszönet,Mulțumim în special,,,תודות מיוחדות ל,شكر خاص إلى,,,
CREDITS_VFX,,VFX,Effets visuels,VFX,Visuelle Effekte,Effetti Visivi,VFX,,Визуальные эффекты,,,VFX,,VFX,VFX,VFX,,VFX,视觉效果,視覺效果,VFX,,VFX,VFX,,,VFX,VFX,,,
CREDITS_UI_UX,,UI/UX,Interface et expérience utilisateur,UI/UX,Benutzeroberfläche/Benutzererlebnis,UI/UX,UI/UX,,UI/UX,,,UI/UX,,UI/UX,UI/UX,UI/UX,,UI/UX,交互界面,UI/UX,UI/UX,,UI/UX,UI/UX,,,ממשק המשתמש / חוויית המשתמש,UI/UX,,,
CREDITS_ENGINEERING_MANAGER,,Engineering Manager,Responsable de l’ingénierie,Gerente de Ingeniería,Programmierungsleiter,Engineering Manager,Gerente de Engenharia,,Инженер-менеджер,,,Ingeniørleder,,Ingenjörs Chef,Ontwikkelings Manager,Menedżer Inżynierii,,エンジニアリングマネージャー,技术经理,工程管理員,엔지니어링 매니저,,Műszaki menedzser,Manager inginerie,,,מנהל הנדסה,مدير الهندسة,,,
CREDITS_RELEASE_MANAGER,,Release Manager,Responsable de publication,Gerente de Lanzamiento,Release Manager,Release Manager,Gerente de Lançamento,,Менеджер по выпуску,,,Udgivelse Manager,,Publicerings Hanterare,Release Beheer,Menedżer Wydań,,リリースマネージャー,发行管理员,發行管理員,릴리스 매니저,,Kiadási menedzser,Manager lansare,,,מנהל גרסת השחרור,مدير الإصدار,,,
CREDITS_OFFICE_MANAGER,,Office Manager,Responsable administratif,Gerente de Oficina,Büromanager,Office Manager,Gerente de Escritório,,Офис-менеджер,,,Kontorchef,,Kontors Hanterare,Kantoor Beheerder,Menedżer Biura,,オフィスマネージャー,办公管理员,辦公管理員,오피스 매니저,,Irodavezető,Manager Office,,,מנהל המשרד,مدير المكتب,,,
BUTTON_PLAY,,Play,Jouer,Jugar,Spielen,Gioca,Jogar,,Играть,,,Spil,,Spela,Speel,Graj,,Play,开始,開始,플레이,,Játék,Joacă,,,שחק,العب,,Spila,
BUTTON_CONTINUE,,Continue,Continuer,Continuar,Fortsetzen,Continua,Continuar,,Далее,,,Fortsæt,,Fortsätt,Verder gaan,Kontynuuj,,続ける,继续,繼續,계속,,Folytatás,Continuă,,,המשך,استمر,,,
BUTTON_SKIP,,Skip,Passer,Omitir,Überspringen,Ignora,Pular,,Пропуск,,,Spring over,,Hoppa över,Overslaan,Pomiń,,スキップ,跳过,跳過,건너뛰기,,Kihagyás,Sari peste,,,דלג,تخطي,,Sleppa,
BUTTON_CANCEL,,Cancel,Annuler,Cancelar,Abbrechen,Annulla,Cancelar,,Отмена,,,Annullér,,Annulera,Annuleren,Anuluj,,キャンセル,取消,取消,취소,,Mégse,Anulează,,,ביטול,إلغاء,,Hætta við,
BUTTON_RETRY,,Retry,Réessayer,Volver a Intentar,Erneut probieren,Riprova,Tentar novamente,,Повтор,,,Prøv Igen,,Försök igen,Opnieuw,Spróbuj ponownie,,Retry,重试,重試,재시도,,Újra,Reîncearcă,,,נסה שוב,إعادة,,Reyna aftur,
BUTTON_OK,,Ok,Ok,Aceptar,Ok,Ok,Ok,,Ок,,,Ok,,Ok,Ok,Ok,,OK,确认,確認,확인,,Ok,Ok,,,אחלה,حسناً,,Í lagi,
BUTTON_APPLY,,Apply,Appliquer,Aplicar,Übernehmen,Applica,Aplicar,,Принять,,,Anvend,,Tillämpa,Toepassen,Zastosuj,,適用,应用,套用,적용,,Alkalmaz,Aplică,,,אישור,تطبيق,,,
BUTTON_PLAY_TUTORIAL,,Play Tutorial,Didacticiel,Jugar Tutorial,Tutorial spielen,Gioca Tutorial,Jogar Tutorial,,Обучение,,,Spil vejledning,,Spela tutorial,Speel tutorial,Rozpocznij Samouczek,,チュートリアル,进入教程,遊玩教學,튜토리얼 플레이,,Bemutató indítása,Joacă tutorialul,,,התחל את ההדרכה,,,,
BUTTON_CAMPAIGN,,Campaign,Campagne,Campaña,Kampagne,Campagna,Campanha,,Кампания,,,Kampagne,,Kampanj,Campagne,Kampania,,Campaign,闯关模式,闖關模式,캠페인,,Kampány,Campanie,,,קמפיין,,,,
BUTTON_CAMPAIGN_HINT,,"Play missions, clear objectives and progress through campaign!","Complétez des missions, atteignez des objectifs et progressez à travers la campagne !","¡Juega las misiones, cumple los objetivos y avanza en la campaña!","Spiele Missionen, erledige Ziele und schreite in der Kampagne voran!","Gioca le missioni, completa gli obiettivi e continua nella campagna!","Faça missões, objetivos claros e progresso através da campanha!",,"Играйте в миссии, завершайте задания и продвигайтесь в рамках кампании!",,,"Spil missioner, klare mål og fremskridt gennem kampagne!",,"Spela uppdrag, klara mål och gör framsteg genom kampanjen!","Speel missies, behaal doelstellingen en maak vooruitgang in de campagne!",,,ミッションをプレイし、目標をクリアして、キャンペーンを進めよう！,进行任务，达成目标并完成闯关！,進行任務，達成目標並完成闖關！,"미션을 플레이하고, 목표를 달성하며 캠페인을 진행하세요!",,Teljesítsd az adott feladatokat a haladáshoz!,"Joacă misiuni, completează obiective și progresează prin campanie!",,,"תשחק משימות, תעבור מטרות ותתקדם בקמפיין!",,,,
BUTTON_SOLO,,Solo,Solo,Individual,Solo,Singolo,Solo,,Соло,,,Solo,,Solo,Alleen,Solo,,Solo,单人模式,單人模式,솔로,,Egyéni,Solo,,,יחיד,فردي,,,
BUTTON_SOLO_HINT,,Play any level you like and compete on the online leaderboards!,Jouez à n'importe quel niveau et luttez pour atteindre le top du classement en ligne !,¡Juega el nivel que desees y compite en la tabla de posiciones en línea!,"Spiele ein beliebiges Level, das dir gefällt, und tritt in den Online-Bestenlisten an!",Gioca i livelli che ti piacciono e competi nella classifica online!,Jogue qualquer nível que você gosta e compita nos placares online!,,"Играйте в любой понравившийся уровень, и состязайтесь на онлайн-таблицах рекордов!",,,"Spil ethvert niveau, du kan lide og konkurrér på online leaderboards!",,Spela vilken level som helst och tävla på online topplistorna!,Speel elk liedje dat je wil en strijd om jouw plaats in de rangschikkingen.,,,好きなステージをプレイして、オンラインランキングで競おう！,游玩任何你喜欢的关卡，并与排行榜上的其他人比拼分数！,遊玩任何你喜歡的歌曲，並與排行榜上的其他人比拚分數！,원하는 레벨을 플레이하고 온라인 순위를 놓고 경쟁하세요!,,Válassz egy pályát és kerülj fel a világranglistára!,Joacă orice nivel dorești și luptă în clasamentul online!,,,שחקו באיזה שלב שתרצו ותתחרו בלוח התוצאות המקוון!,,,,
BUTTON_PARTY,,Party,En groupe,Grupo,Gruppe,Party,Grupo,,Вечеринка,,,Gruppe,,Party,Groep,Party,,Party,聚会模式,派對模式,파티,,Parti,Grup,,,קבוצה,مجموعة,,,
